Label Identifying Reader Id,Write Message timestamp,Read Start Timestamp,Read Finish Timestamp
reader1,2021-04-18 01:39:21.714662,2021-04-18 01:39:21.719349,2021-04-18 01:39:21.722336
reader1,2021-04-18 01:39:21.714662,2021-04-18 01:39:21.722377,2021-04-18 01:39:21.724623
reader1,2021-04-18 01:39:21.723925,2021-04-18 01:39:21.724653,2021-04-18 01:39:21.726182
reader1,2021-04-18 01:39:21.723925,2021-04-18 01:39:21.726198,2021-04-18 01:39:21.727351
reader1,2021-04-18 01:39:21.723925,2021-04-18 01:39:21.727367,2021-04-18 01:39:21.728333
reader1,2021-04-18 01:39:21.723925,2021-04-18 01:39:21.728347,2021-04-18 01:39:21.739390
reader1,2021-04-18 01:39:21.731761,2021-04-18 01:39:21.739465,2021-04-18 01:39:21.742244
reader1,2021-04-18 01:39:21.731761,2021-04-18 01:39:21.742325,2021-04-18 01:39:21.743691
reader1,2021-04-18 01:39:21.731761,2021-04-18 01:39:21.743758,2021-04-18 01:39:21.746128
reader1,2021-04-18 01:39:21.743957,2021-04-18 01:39:21.746196,2021-04-18 01:39:21.747436
reader1,2021-04-18 01:39:21.743957,2021-04-18 01:39:21.747506,2021-04-18 01:39:21.748669
reader1,2021-04-18 01:39:21.743957,2021-04-18 01:39:21.748737,2021-04-18 01:39:21.751148
reader1,2021-04-18 01:39:21.748960,2021-04-18 01:39:21.751215,2021-04-18 01:39:21.752514
reader1,2021-04-18 01:39:21.748960,2021-04-18 01:39:21.752611,2021-04-18 01:39:21.753775
reader1,2021-04-18 01:39:21.748960,2021-04-18 01:39:21.753842,2021-04-18 01:39:21.755073
reader1,2021-04-18 01:39:21.754512,2021-04-18 01:39:21.755139,2021-04-18 01:39:21.758030
reader1,2021-04-18 01:39:21.754512,2021-04-18 01:39:21.758113,2021-04-18 01:39:21.771852
reader1,2021-04-18 01:39:21.754512,2021-04-18 01:39:21.771876,2021-04-18 01:39:21.773956
reader1,2021-04-18 01:39:21.772036,2021-04-18 01:39:21.774004,2021-04-18 01:39:21.775167
reader1,2021-04-18 01:39:21.772036,2021-04-18 01:39:21.775276,2021-04-18 01:39:21.776741
reader1,2021-04-18 01:39:21.772036,2021-04-18 01:39:21.776811,2021-04-18 01:39:21.778070
reader1,2021-04-18 01:39:21.777876,2021-04-18 01:39:21.778136,2021-04-18 01:39:21.780439
reader1,2021-04-18 01:39:21.777876,2021-04-18 01:39:21.780452,2021-04-18 01:39:21.781664
reader1,2021-04-18 01:39:21.777876,2021-04-18 01:39:21.781766,2021-04-18 01:39:21.783614
reader1,2021-04-18 01:39:21.782136,2021-04-18 01:39:21.783632,2021-04-18 01:39:21.784904
reader1,2021-04-18 01:39:21.782136,2021-04-18 01:39:21.784916,2021-04-18 01:39:21.785906
reader1,2021-04-18 01:39:21.782136,2021-04-18 01:39:21.785921,2021-04-18 01:39:21.786900
reader1,2021-04-18 01:39:21.786812,2021-04-18 01:39:21.786913,2021-04-18 01:39:21.788187
