id,data,writer_id,node_number,start_time,end_time,cum_diff,time_diff
327,1,1,1,38:59.4,38:59.4,00:00.0,1.60E-05
328,1,1,1,38:59.4,38:59.4,00:00.0,1.40E-05
329,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
330,1,1,1,38:59.4,38:59.4,00:00.0,1.40E-05
331,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
332,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
333,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
334,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
335,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
336,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
337,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
338,1,1,1,38:59.4,38:59.4,00:00.0,1.40E-05
339,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
340,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
341,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
342,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
343,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
344,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
345,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
346,1,1,1,38:59.4,38:59.4,00:00.0,1.40E-05
347,1,1,1,38:59.4,38:59.4,00:00.0,1.20E-05
348,1,1,1,38:59.4,38:59.4,00:00.0,1.40E-05
349,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
350,1,1,1,38:59.4,38:59.4,00:00.0,1.40E-05
351,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
352,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
353,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
354,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
355,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
356,1,1,1,38:59.4,38:59.4,00:00.0,1.40E-05
357,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
358,1,1,1,38:59.4,38:59.4,00:00.0,1.20E-05
359,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
360,1,1,1,38:59.4,38:59.4,00:00.0,1.40E-05
361,1,1,1,38:59.4,38:59.4,00:00.0,1.20E-05
362,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
363,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
364,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
365,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
366,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
367,1,1,1,38:59.4,38:59.4,00:00.0,1.70E-05
368,1,1,1,38:59.4,38:59.4,00:00.0,1.40E-05
369,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
370,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
371,1,1,1,38:59.4,38:59.4,00:00.0,1.40E-05
372,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
373,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
374,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
375,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
376,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
377,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
378,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
379,1,1,1,38:59.4,38:59.4,00:00.0,1.40E-05
380,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
381,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
382,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
383,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
384,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
385,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
386,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
387,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
388,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
389,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
390,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
391,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
392,1,1,1,38:59.4,38:59.4,00:00.0,1.20E-05
393,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
394,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
395,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
396,1,1,1,38:59.4,38:59.4,00:00.0,1.40E-05
397,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
398,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
399,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
400,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
401,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
402,1,1,1,38:59.4,38:59.4,00:00.0,1.50E-05
403,1,1,1,38:59.4,38:59.4,00:00.0,2.00E-05
404,1,1,1,38:59.4,38:59.4,00:00.0,1.80E-05
405,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
406,1,1,1,38:59.4,38:59.4,00:00.0,1.70E-05
407,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
408,1,1,1,38:59.4,38:59.4,00:00.0,1.20E-05
409,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
410,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
411,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
412,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
413,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
414,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
415,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
416,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
417,1,1,1,38:59.4,38:59.4,00:00.0,1.40E-05
418,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
419,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
420,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
